id,studios,director
40262,Production I.G,Morihiro Fumi
38349,A-1 Pictures,Takano Yayoi
38081,Actas,
1827,Production I.G,Matsuda Akio
10721,Brain's Base,Ikuhara Kunihiko
34944,Bones,Igarashi Takuya
27989,Kyoto Animation,Nakamura Shinichi
27833,Shuka,Oomori Takahiro
30370,Studio Pierrot,Yoneda Kazuhiro
1365,TMS Entertainment,Suwa Michihiko
35968,A-1 Pictures,Hiraike Yoshimasa
32902,Wit Studio,Naganuma Norihiro
1096,Production I.G,Ishikawa Mitsuhisa
29831,TYO Animations,Satou Junichi
31658,Production I.G,Morihiro Fumi
7674,J.C.Staff,Kasai Kenichi
16662,Studio Ghibli,Suzuki Toshio
813,Toei Animation,Seki Hiromi
6,Madhouse,Maseba Yutaka
25879,A-1 Pictures,Kamakura Yumi
28675,Kyoto Animation,Ishidate Taichi
31964,Bones,Nagasaki Kenji
39570,J.C.Staff,Méyère Bruno
49200,Studio LAN,
33161,feel.,Hayami Saori
38088,Yumeta Company,Taguchi Tomohisa
339,Triangle Staff,Ueda Yasuyuki
14713,TMS Entertainment,Daichi Akitarou
45577,TROYCA,Bessho Makoto
18689,Production I.G,Morishita Katsuji
1142,J.C.Staff,Yamamoto Kouji
34636,Production I.G,Morishita Katsuji
21647,Kyoto Animation,Nakamura Shinichi
39198,Lerche,Higa Yuuji
6864,Production I.G,Mizushima Tsutomu
2685,Production I.G,Kuroki Rui
139,Nippon Animation,Tokoro Toshikatsu
138,Nippon Animation,Matsushita Yukihiro
35382,MAPPA,Yamamoto Sayo
387,Radix,Ueda Yasuyuki
6945,Sunrise,DOES
6746,Brain's Base,Matsumoto Miho
2559,Nippon Animation,Kusuba Kouzou
31173,Bones,Andou Masahiro
25013,Studio Pierrot,Yoneda Kazuhiro
35222,Brain's Base,Motoyama Satoshi
21899,Sunrise,SPYAIR
12189,Kyoto Animation,Hatta Hideaki
12115,Studio 4°C,Kubooka Toshiyuki
16918,A-1 Pictures,Saitou Shunsuke
12859,Toei Animation,Oda Eiichiro
40080,Colored Pencil Animation,Huang Chengxi
16049,J.C.Staff,Nakayama Nobuhiro
10153,Seven Arcs,Kusakawa Keizou
39534,Lerche,Higa Yuuji
42916,A-1 Pictures,Kouno Ayako
40211,,Nakayama Nobuhiro
3701,Madhouse,Yuasa Masaaki
18,A.C.G.T.,Tominaga Tsuneo
37765,Sunrise,Murase Shukou
14807,ufotable,Sudou Tomonori
237,Bones,Kyouda Tomoki
44235,Shin-Ei Animation,Misato Tomoki
42076,,Yasui Marie
44086,PERIMETRON,Yamada Ryoji
6045,Production I.G,Wada Jouji
35790,Kinema Citrus,Abo Takao
48580,Bones,Itamura Tomoyuki
4477,J.C.Staff,Yamamoto Kouji
42640,,
14813,Brain's Base,Yoshimura Ai
15059,SynergySP,Hashimoto Mitsuo
77,Seven Arcs,Kusakawa Keizou
135,Studio Pierrot,Nishizawa Susumu
40215,Fanworks,Percy Xavier
283,Nippon Animation,Takahata Isao
38409,,
37765,Sunrise,Murase Shukou
33970,Actas,Mizushima Tsutomu
38337,Encourage Films,Hashimoto Hiroyuki
7465,Studio Rikka,Yoshiura Yasuhiro
43299,CloverWorks,Wakabayashi Shin
2581,Sunrise,Yatate Hajime
30015,TMS Entertainment,Kosaka Satoru
44940,Toei Animation,Hatano Morio
5680,Kyoto Animation,Hatta Youko
36370,Production I.G,Kuroki Rui
5681,Madhouse,Saitou Yuuichirou
37822,Sparkly Key Animation Studio,Tang Jia San Shao
3167,Studio Rikka,Yoshiura Yasuhiro
37959,Brain's Base,Tokeino Hari
38422,J.C.Staff,sora tob sakana
6467,Tokyo Movie Shinsha,Suwa Michihiko
23199,Shuka,Oomori Takahiro
7054,J.C.Staff,Matsuda Akio
35062,Wit Studio,Wada Jouji
7062,Shaft,Iwakami Atsuhiro
31478,Bones,Igarashi Takuya
23283,MAPPA,Ueda Masuo
24277,TMS Entertainment,Nabeshima Osamu
34572,Studio Pierrot,Yoshihara Tatsuya
40956,David Production,Minamikawa Tatsuma
34376,Studio Gokumi,Hanazawa Kana
2025,Bones,Cook Justin
34100,SILVER LINK.,Oonuma Shin
37786,TROYCA,Katou Makoto
23317,A-1 Pictures,Abe Noriyuki
18661,TMS Entertainment,Daichi Akitarou
4107,Gainax,Imaishi Hiroyuki
37870,SANZIGEN,Kakimoto Koudai
9890,SynergySP,Fukushima Toshinori
10012,Lerche,Higa Yuuji
3016,Kitty Films,Ishiguro Noboru
32005,TMS Entertainment,Suwa Michihiko
17549,SILVER LINK.,Gou Fumiyuki
6336,Sunrise,Yatate Hajime
4155,Toei Animation,Sakai Munehisa
31490,Toei Animation,Miyamoto Hiroaki
30279,TYO Animations,Hata Hiroyuki
31149,A-1 Pictures,Taguchi Tomohisa
40716,Ajia-Do,Murano Yuuta
2563,Hal Film Maker,Satou Junichi
30364,Production I.G,Morihiro Fumi
2236,Madhouse,Saitou Yuuichirou
9863,Tatsunoko Production,Kawaguchi Keiichirou
1367,TMS Entertainment,Yamamoto Yasuichiro
21855,Shaft,Shinbou Akiyuki
9656,Production I.G,Wada Jouji
41389,Seven Arcs,Ikehata Hiroshi
1364,TMS Entertainment,Suwa Michihiko
3604,Shaft,Iwakami Atsuhiro
2164,Madhouse,Iso Mitsuo
20507,Bones,Tamura Koutarou
21419,TMS Entertainment,Suwa Michihiko
11771,Production I.G,Morihiro Fumi
21557,Studio Ghibli,Nishimura Yoshiaki
22819,Sunrise,Kimura Ryuuichi
16706,Manglobe,Matsuda Akio
19123,Toei Animation,moumoon
40397,Doga Kobo,Yamazaki Mitsue
32995,MAPPA,Yamamoto Sayo
33489,Trigger,Usa Yoshiki
16067,P.A. Works,Shinohara Toshiya
27831,Shuka,Oomori Takahiro
34626,Studio Deen,Kanasaki Takaomi
82,Sunrise,Maseba Yutaka
31051,Production I.G,Morihiro Fumi
15323,Toei Animation,Tokoro Katsumi
3901,Brain's Base,Cook Justin
1566,Production I.G,Maseba Yutaka
27663,Studio Pierrot,Murata Masahiko
39592,Sunrise,Yasuhiko Yoshikazu
39196,Bandai Namco Pictures,Moriwaki Makoto
39468,Ajia-Do,Hongou Mitsuru
32615,Nut,Uemura Yutaka
14349,Trigger,Yoshinari You
31973,Sunrise,Matsuo Kou
36963,TROYCA,Saitou Souma
1471,Sunrise,Kodama Kenji
30123,Bones,Andou Masahiro
12477,Studio Rikka,Yoshiura Yasuhiro
532,Toei Animation,Maseba Yutaka
1486,Gallop,Cook Justin
535,E&G Films,Kobayashi Noriko
37932,Colored Pencil Animation,Xiong Ke
7720,A-1 Pictures,Ochikoshi Tomonori
10080,Manglobe,Matsuda Akio
41674,J.C.Staff,Satou Junichi
10049,Studio Deen,Fukuda Michio
38917,Haoliners Animation League,
29787,Kinema Citrus,Ogura Mitsutoshi
40082,TMS Entertainment,Yamazaki Takashi
17265,Satelight,Ishihira Shinji
39014,Kyoto Animation,Miyano Mamoru
14175,P.A. Works,Horikawa Kenji
40046,NAZ,Aoki Ei
42091,Wit Studio,Wada Jouji
14349,Trigger,Yoshinari You
1559,TMS Entertainment,Cook Justin
187,Studio Deen,Mima Masafumi
72,Kyoto Animation,Hatta Youko
7645,Toei Animation,Umezawa Atsutoshi
35678,Kyoto Animation,Ishihara Tatsuya
36563,TMS Entertainment,Moriyama You
34440,Sunrise,Izawa Motoi
14353,Madhouse,Matsuura Hiroaki
32615,Nut,Uemura Yutaka
44248,Lerche,Higa Yuuji
36106,Wit Studio,Nakatake Tetsuya
33263,Shaft,Shinbou Akiyuki
33071,Bones,Igarashi Takuya
32547,SILVER LINK.,Yoshida Reiko
24151,Production I.G,Kuroki Rui
3588,Bones,Igarashi Takuya
658,Madhouse,Maruyama Masao
85,Sunrise,Yatate Hajime
12403,Doga Kobo,Oota Masahiko
28297,Madhouse,Asaka Morio
39468,Ajia-Do,Hongou Mitsuru
9289,P.A. Works,Horikawa Kenji
23225,TYO Animations,Hata Hiroyuki
9963,TMS Entertainment,Suwa Michihiko
32093,SILVER LINK.,Kawatsura Shinya
16001,SILVER LINK.,Oonuma Shin
18397,Wit Studio,Wada Jouji
3228,Shaft,Kubota Mitsutoshi
27947,Telecom Animation Film,Tomonaga Kazuhide
7711,Studio Ghibli,Suzuki Toshio
795,Tezuka Productions,Dezaki Osamu
322,Madhouse,Yamamoto Kouji
153,Studio Pierrot,Kobayashi Tsuneo
9130,TMS Entertainment,Nabeshima Osamu
7222,Satelight,Sasaki Shirou
9734,Kyoto Animation,Takemoto Yasuhiro
39196,Bandai Namco Pictures,Moriwaki Makoto
846,Studio Comet,Cook Justin
95,Sunrise,Yatate Hajime
35198,Kyoto Animation,Kawanami Eisaku
27775,Doga Kobo,Toba Yousuke
37985,Fanworks,Rareko
26123,GoHands,Kanazawa Hiromichi
40853,Shirogumi,Suda Masaki
43523,C2C,Ishihira Shinji
18179,TMS Entertainment,Nabeshima Osamu
39592,Sunrise,Yasuhiko Yoshikazu
3371,Artland,Ishiguro Noboru
4059,Kyoto Animation,Tsuruoka Youta
2034,Toei Animation,Seki Hiromi
6377,Shaft,Miyamoto Junnosuke
11739,J.C.Staff,Kanbe Mamoru
4918,Production I.G,Mizushima Tsutomu
2167,Kyoto Animation,Hatta Youko
34437,Sunrise,Taniguchi Gorou
31741,Lay-duce,Miyao Yoshikazu
4938,Production I.G,Kuroki Rui
42351,Doga Kobo,Itou Ryouta
6547,P.A. Works,Horikawa Kenji
3927,Sunrise,Yatate Hajime
5365,Oh! Production,Katou Kunio
33221,Sunrise,Matsuo Kou
4106,Madhouse,Kitayama Shigeru
14719,David Production,Tsuda Naokatsu
2761,Sunrise,Takizawa Toshifumi
35806,Production I.G,Morihiro Fumi
38084,CloverWorks,Takeuchi Takashi
38080,Platinum Vision,Mizuno Ryouma
1065,Gallop,Sugii Gisaburou
8425,Bones,Nanba Hitoshi
6421,Bones,Irie Yasuhiro
29893,TYO Animations,Satou Junichi
6211,Bones,Tachibana Masaki
30415,Kyoto Animation,Takemoto Yasuhiro
1506,TMS Entertainment,Suwa Michihiko
12069,Madhouse,Mima Masafumi
38084,CloverWorks,Takeuchi Takashi
38080,Platinum Vision,Mizuno Ryouma
1065,Gallop,Sugii Gisaburou
8425,Bones,Nanba Hitoshi
6421,Bones,Irie Yasuhiro
29893,TYO Animations,Satou Junichi
6211,Bones,Tachibana Masaki
30415,Kyoto Animation,Takemoto Yasuhiro
1506,TMS Entertainment,Suwa Michihiko
12069,Madhouse,Mima Masafumi
38084,CloverWorks,Takeuchi Takashi
9563,Shaft,Iwakami Atsuhiro
32615,Nut,Uemura Yutaka
1506,TMS Entertainment,Suwa Michihiko
7645,Toei Animation,Umezawa Atsutoshi
28725,A-1 Pictures,Saitou Shunsuke
27947,Telecom Animation Film,Tomonaga Kazuhide
31973,Sunrise,Matsuo Kou
7720,A-1 Pictures,Ochikoshi Tomonori
9735,Sunrise,Sorachi Hideaki
24997,Sunrise,Kyougoku Takahiko
27775,Doga Kobo,Toba Yousuke
66,J.C.Staff,Nishikiori Hiroshi
36106,Wit Studio,Nakatake Tetsuya
3927,Sunrise,Yatate Hajime
32093,SILVER LINK.,Kawatsura Shinya
1363,TMS Entertainment,Suwa Michihiko
33071,Bones,Igarashi Takuya
42894,Shuka,Oomori Takahiro
33263,Shaft,Shinbou Akiyuki
11113,Production I.G,Matsushita Keiko
21469,Shirogumi,Yamazaki Takashi
38917,Haoliners Animation League,
4772,Hal Film Maker,Makino Yui
37675,Madhouse,Itou Naoyuki
4722,Hal Film Maker,Sayama Kiyoko
16870,Studio Pierrot,Kobayashi Tsuneo
16782,CoMix Wave Films,Kawaguchi Noritaka
26213,Kyoto Animation,Miyano Mamoru
779,TMS Entertainment,Cook Justin
25517,A-1 Pictures,Ochikoshi Tomonori
20057,Bones,Minami Masahiko
40665,Kinema Citrus,Furukawa Tomohiro
18429,TMS Entertainment,Kamegaki Hajime
34745,Production I.G,Ikehata Hiroshi
1482,TMS Entertainment,Sabat Christopher
570,Production I.G,Horikawa Kenji
22961,Production IMS,Marchi Jamie
780,TMS Entertainment,Cook Justin
1530,Kyoto Animation,Hatta Youko
19703,Toei Animation,Matsumoto Rie
249,Sunrise,Suwa Michihiko
37435,Bones,Watanabe Shinichiro
36704,Kyoto Animation,Kawanami Eisaku
2924,Shaft,Matsuda Akio
22097,Lay-duce,Saitou Shunsuke
543,Madhouse,Maruyama Masao
14741,Kyoto Animation,Nakamura Shinichi
15039,A-1 Pictures,Saitou Shunsuke
38770,TMS Entertainment,Aoyama Gosho
464,Toei Animation,Hosoda Mamoru
40620,Studio Blanc,Nagayama Nobuyoshi
1594,Studio Deen,Oomori Takahiro
6774,Toei Animation,Yamamoto Kouji
1604,Artland,Imaizumi Kenichi
38594,Science SARU,Yuasa Masaaki
7044,Shaft,Miyamoto Junnosuke
8740,Toei Animation,Itou Naoyuki
36702,Wit Studio,Wada Jouji
34438,Sunrise,Izawa Motoi
31174,Studio Pierrot,Fujita Youichi
19111,Sunrise,Kyougoku Takahiko
35798,TMS Entertainment,Tachikawa Yuzuru
793,Production I.G,Clinkenbeard Colleen
1695,Nippon Animation,Yamamoto Kouji
16395,Tatsunoko Production,Kawaguchi Keiichirou
37804,P.A. Works,Mizushima Tsutomu
39175,Signal.MD,Ishiguro Kyouhei
19489,Trigger,Ootsuka Masahiko
4053,M.S.C,Hamana Takayuki
2150,Telescreen,Saitou Hiroshi
36369,Production I.G,Kuroki Rui
10029,Studio Ghibli,Suzuki Toshio
4087,Manglobe,Yamamoto Kouji
4872,Shaft,Kubota Mitsutoshi
3702,Studio 4°C,Nagahama Hiroshi
3665,Artland,Shimizu Keizou
16,J.C.Staff,Kasai Kenichi
36028,Geno Studio,Nanba Hitoshi
2449,Production I.G,Kamiyama Kenji
39575,Satelight,Yamaoka Akira
30727,A-1 Pictures,Kamei Kanta
13331,White Fox,Motonaga Keitarou
10357,AIC ASTA,Kishi Seiji
9204,Ajia-Do,Fujimori Masaya
302,Nippon Animation,Hayakawa Keiji
6171,TMS Entertainment,Nabeshima Osamu
1376,Toei Animation,Satou Junichi
1257,Toei Animation,Yamauchi Shigeyasu
1023,Bones,Maseba Yutaka
851,Studio Pierrot,Mori Takeshi
790,Manglobe,Matsuda Akio
32998,Shuka,Kaburagi Hiro
39477,Wit Studio,
34504,GoHands,Kanazawa Hiromichi
2605,Shaft,Kubota Mitsutoshi
849,Kyoto Animation,Hatta Youko
4985,Seven Arcs,Kusakawa Keizou
