id,en_title,season_year,episodes_count,episode_duration,format_destination,release_status
31373,Rudolf to Ippaiattena,2016,1,89,movie,finished
7395,Card Wang: Mix Master,,39,25,tv,finished
29876,Chu Feng: B.E.E,,6,17,ona,finished
31454,Gundam: G no Reconguista - From the Past to the Future,2015,1,9,special,finished
36569,Nanatsu no Taizai: Tsumi no Kokuhaku Dennou Grimoire!,,10,5,ona,finished
40145,Yu☆Gi☆Oh! SEVENS,2020,79,24,tv,releasing
37784,Tokino Kousa,2018,1,1,special,finished
25943,Hacka Doll,2014,2,2,special,finished
2282,Tezuka Osamu no Kyuuyaku Seisho Monogatari,1997,26,24,tv,finished
9792,Licca-chan Fushigi na Fushigi na Yunia Monogatari,1990,2,27,ova,finished
32041,Mori no Densetsu: Dai Ni Gakushou,,1,11,movie,finished
349,Magical Canan,2005,13,24,tv,finished
15423,Antinotice,,1,3,music,finished
43722,Ai wo Komete,,1,5,ona,finished
20463,Little Nemo Pilot (1987),,1,10,special,finished
11221,Machikado no Märchen,1984,1,54,ova,finished
34615,Usakame Special,2016,1,4,special,finished
9232,Yebisu Celebrities,2010,1,45,ova,finished
27997,OVA Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!,2014,2,25,ova,finished
33806,Macross Δ: Delta Shougekijou,2016,9,7,special,finished
42057,Kyoshin to Hyouka no Shiro,2020,4,1,ona,finished
33669,Cure Miracle to Mofurun no Mahou Lesson,2016,1,6,special,finished
32455,Gekidol,2021,12,23,tv,finished
6809,Toshi Densetsu Monogatari Hikiko,2008,1,40,ova,finished
360,Himiko-Den,1999,12,20,tv,finished
43763,Cestvs: The Roman Fighter,2021,11,23,tv,finished
37008,TSUKIPRO THE ANIMATION 2,2021,13,24,tv,releasing
22055,Gakkou no Kaidan: New Year's Special,2001,1,5,special,finished
23781,Blade & Soul Specials,2014,7,2,special,finished
2501,Papuwa,2003,26,25,tv,finished
8964,Stitch!: Zutto Saikou no Tomodachi,2010,29,25,tv,finished
45665,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,2021,12,24,tv,finished
29927,Kaguya-hime,,1,26,movie,finished
9943,Ore-sama Kingdom,2011,14,11,ova,finished
18755,Donyatsu,2013,12,2,special,finished
18669,Black Jack: Karte NG Extras,,1,8,special,finished
18419,Boku no Imouto wa "Osaka Okan": Uchi no Onii-chan wa Tokyo Rule,2013,1,4,special,finished
23,Ring ni Kakero 1,2004,12,25,tv,finished
17787,Ouritsu Uchuugun: Honneamise no Tsubasa - Pilot Film,1987,1,4,special,finished
20855,Saikin Osen,,1,4,music,finished
9423,Koko ni Iru,,1,2,ona,finished
16119,Chouyaku Hyakuninisshu: Uta Koi. - Sake to Kikoushi ~ Murasaki Kishikibu to Kintou,2013,1,3,special,finished
21775,Yugami-kun ni wa Tomodachi ga Inai,,2,1,ona,finished
9205,Kaichuu!,2010,4,4,ona,finished
15717,Nagareboshi Lens Specials,2012,3,1,special,finished
19235,Dance, Dance, Dance,,1,4,music,finished
39529,Youkai Watch: Youkai Gakuen Y - Neko wa Hero ni Nareru ka,2019,1,99,movie,finished
13375,Kyoto Animation: Sora-hen,2010,1,1,special,finished
2565,Jungle Taitei: Susume Leo!,1966,26,20,tv,finished
11281,Keroro Gunsou: Mushakero Ohirome Sengoku Ranstar Dai Battle,2008,1,14,special,finished
10581,Kidou Senshi Gundam 0083: Stardust Memory - Uchuu no Kagerou,,1,4,special,finished
10207,Riri to Kaeru to (Otouto),2006,1,27,special,finished
10263,Sonic X Pilot,,2,3,special,finished
9243,Nine 2: Koibito Sengen,1984,1,67,special,finished
2716,Urayasu Tekkin Kazoku,1998,33,7,tv short,finished
8972,Mahou no Princess Minky Momo vs. Mahou no Tenshi Creamy Mami,1985,1,3,special,finished
546,Wind: A Breath of Heart (2004),2004,13,12,tv short,finished
7571,Kita e.: Diamond Dust Drops Special,2004,1,24,special,finished
648,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,2004,13,12,tv short,finished
6878,Usavich Special,2008,1,1,special,finished
2613,Mirai Shounen Conan 2: Taiga Daibouken,1999,24,23,tv,finished
22695,Dragon Ball Z: Kyokugen Battle!! Sandai Super Saiyajin Special,1992,1,45,special,finished
2824,Barbapapa Sekai wo Mawaru,1999,50,5,tv short,finished
33911,Gakuen Handsome: Legend of Sexy,2014,2,4,music,finished
4737,Himitsukessha Taka no Tsume,2006,12,10,tv short,finished
7004,Shin Calimero,1992,52,15,tv short,finished
5014,Sango Shou Densetsu: Aoi Umi no Elfie,1986,1,72,special,finished
34489,Cinderella Girls Gekijou: 5 Shuunen Kinen Short Anime,2016,1,3,ona,finished
8815,Domo TV,,26,2,tv short,finished
8961,Tono to Issho: Ippunkan Gekijou,2010,12,1,tv short,finished
4685,Takane no Jitensha,2008,1,24,special,finished
10177,DD Hokuto no Ken,2011,12,3,tv short,finished
4158,Dore Dore no Uta,2005,1,3,special,finished
11841,Qin Shi Mingyue: Ye Jin Tianming,,18,25,tv,finished
11919,Zoku Attacker You! Kin Medal e no Michi,,52,23,tv,finished
3232,Bannou Bunka Neko-Musume Specials,1999,2,23,special,finished
16347,Usavich V,2012,13,1,tv short,finished
16405,Boku no Imouto wa "Osaka Okan",2012,12,3,tv short,finished
3190,Guitar wo Motta Shounen: Kikaider vs. Inazuman,2003,1,28,special,finished
17267,Futari wa Milky Holmes,2013,12,12,tv short,finished
2892,Hakushon Daimaou,1969,52,24,tv,finished
18391,Mini Van,2013,37,3,tv short,finished
1193,Happy Seven: The TV Manga,2005,13,24,tv,finished
11543,Hate You,,1,3,music,finished
21421,Mahou Shoujo Taisen,2014,26,4,tv short,finished
21773,Sugar＊Soldier,2014,3,1,tv short,finished
39018,Right Places: Sono Toki, Boku no Irubeki Basho,,1,5,ona,finished
34239,Mutsugo to Ouma no Monogatari,2016,6,2,ona,finished
2027,Wind: A Breath of Heart Specials,2004,4,13,special,finished
33192,Robot Town Sagami 2028,2016,1,8,ona,finished
32572,Neko Neko Nihonshi,2016,32,9,tv short,finished
32571,Shounen Ashibe GO! GO! Goma-chan,2016,32,9,tv short,finished
33803,Sengoku Choujuu Giga: Kou,2016,13,3,tv short,finished
34013,Hagane Orchestra,2016,12,5,tv short,finished
34467,Yami Shibai 4,2017,13,5,tv short,finished
3116,Dash! Yonkurou,1989,25,20,tv,finished
,Donaiyanen Yadon,,1,4,music,finished
36166,Fireball Humorous,2017,3,3,tv short,finished
39872,Chiruri,,1,8,ona,finished
686,To Heart: Remember My Memories Specials,2006,7,3,special,finished
37992,Jingai-san no Yome,2018,12,3,tv short,finished
8333,Kodomo no Keijijougaku,2007,1,5,ona,finished
36618,Flowering Heart 2,,26,11,tv short,finished
6932,Kemono to Chat,2009,1,28,ova,finished
31673,Larva Season 2,,52,4,tv short,finished
3285,Himitsu no Akko-chan,1969,94,20,tv,finished
31674,Larva in New York,,104,2,tv short,finished
6796,Kyuukyoku Choujin R,1991,1,91,ova,finished
6557,Fortune Quest: Yo ni mo Shiawase na Boukensha-tachi,1993,4,25,ova,finished
6229,Konpeki no Kantai,1993,32,40,ova,finished
6038,Transformers Zone,1990,1,23,ova,finished
27793,It Girl,,1,5,music,finished
5918,Deimos no Hanayome,1988,1,32,ova,finished
40749,Maou-sama, Petit Retry!,2019,23,1,ona,finished
5396,Yuusha Shirei Dagwon: Suishou no Hitomi no Shounen,1997,2,29,ova,finished
7294,Licca-chan Fushigi na Mahou no Ring,1991,2,30,ova,finished
4961,Mushrambo (2008),2008,2,90,ova,finished
4014,Choujin Locke: Lord Leon,1989,3,29,ova,finished
38678,Kimi no Matsu (Basho) e,2018,1,16,ona,finished
3509,Riki-Oh: Toukatsu Jigoku,1989,1,48,ova,finished
38719,Fight League: Gear Gadget Generators,2019,26,10,ona,finished
3336,Mezame no Hakobune,2005,1,35,ova,finished
545,Wandaba Style,2003,12,24,tv,finished
3214,Kosuke-sama Rikimaru-sama: Konpeitou no Ryuu,1988,1,47,ova,finished
515,Hajimari no Boukensha-tachi: Legend of Crystania,1995,1,80,movie,finished
22831,Abarenbou Rikishi!! Matsutarou,2014,23,22,tv,finished
1561,Lovedol: Lovely Idol,2006,12,24,tv,finished
1552,Hiatari Ryoukou! Yume no Naka ni Kimi ga Ita,1988,1,67,movie,finished
3823,Little Lulu to Chicchai Nakama,1976,26,25,tv,finished
3827,Ore wa Teppei,1978,28,25,tv,finished
33309,Jie Moren,,14,13,ona,finished
2312,Daishizen no Majuu: Bagi,1984,1,90,movie,finished
2314,Tobe! Kujira no Peek,1991,1,80,movie,finished
3878,Mahou Shoujo Lalabel,1980,49,20,tv,finished
2423,Grey: Digital Target,1986,1,73,movie,finished
3900,Ougon Bat,1967,52,25,tv,finished
2647,Dorami-chan: Mini-Dora SOS,1989,1,40,movie,finished
2782,Fire Emblem: Monshou no Nazo,1996,2,30,ova,finished
30382,Aquarion Logos,2015,26,24,tv,finished
4025,Asobou!! Hello Kitty,1994,26,25,tv,finished
19519,Dream Creator feat. GUMI,,1,4,music,finished
2840,Youkoso Lodoss-tou e!,2005,1,54,movie,finished
3147,Megumi no Daigo: Kajiba no Baka Yarou,1999,1,45,movie,finished
3155,Kingyo Chuuihou!,1992,1,21,movie,finished
3274,Kinnikuman: Daiabare! Segi Choujin,1984,1,48,movie,finished
19187,fake doll,,1,3,music,finished
2601,Juusenki L-Gaim III: Full Metal Soldier,1987,1,56,ova,finished
3757,Sekai Meisaku Douwa: Aladdin to Mahou no Lamp,1982,1,65,movie,finished
29255,Koukaku Kidoutai Arise - EPISODE:[.jp],,1,3,ona,finished
4386,Great Mazinger vs. Getter Robo G: Kuuchuu Dai-Gekitotsu,1975,1,25,movie,finished
12135,Ra/Radio Noise*Planet,2010,1,2,ova,finished
22113,Kyoukaisenjou no Horizon: Kyokutou Naruhodo Kouza,,4,8,ona,finished
37881,Naniiro no Nani,,1,13,ona,finished
4681,Ultra Nyan: Hoshizora kara Maiorita Fushigi Neko,1997,1,30,movie,finished
1685,Duel Masters,2002,26,21,tv,finished
5053,Ai City,1986,1,88,movie,finished
35835,RErideD: Tokigoe no Derrida,2018,12,24,ona,finished
2466,Scramble Wars: Tsuppashire! Genom Trophy Rally,1992,1,26,ova,finished
32595,Seisen Cerberus: Ryuukoku no Fatalité,2016,13,24,tv,finished
,Yueqiu Shou,,1,3,ona,finished
12133,Sekai Kei Sekai Ron,,1,4,ova,finished
