id,en_title,season_year,episodes_count,episode_duration,format_destination,release_status
5018,Sennen Joyuu,2002,1,87,movie,finished
3194,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,2018,13,25,tv,finished
6705,Youjo Senki Movie,2019,1,105,movie,finished
2133,Shinsekai yori,2012,25,23,tv,finished
4954,Kaze no Tani no Nausicaä,1984,1,117,movie,finished
3542,NOMAD: Megalo Box 2,2021,13,24,tv,finished
6678,Natsume Yuujinchou: Utsusemi ni Musubu,2018,1,104,movie,finished
2107,Sakamichi no Apollon,2012,12,22,tv,finished
3114,Boku no Hero Academia 3,2018,25,24,tv,finished
15405,Kawaki wo Ameku,,1,4,music,finished
3205,Dororo,2019,24,24,tv,finished
130,Initial D,1998,26,25,tv,finished
6635,Non Non Biyori: Vacation,2018,1,71,movie,finished
276,Shoujo Kakumei Utena,1997,39,23,tv,finished
2542,Non Non Biyori: Repeat,2015,12,24,tv,finished
14176,Modao Zushi Q,,30,5,ona,finished
3073,Shoujo Shuumatsu Ryokou,2017,12,24,tv,finished
2543,Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku,2015,13,24,tv,finished
2324,Magi: The Kingdom of Magic,2013,25,24,tv,finished
6632,Chuunibyou demo Koi ga Shitai!: Take on Me,2018,1,98,movie,finished
2557,Kuroko no Basket 3rd Season,2015,25,24,tv,finished
2759,Re:Zero kara Hajimeru Isekai Seikatsu,2016,25,25,tv,finished
13929,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,2020,6,23,ona,finished
4736,Bungou Stray Dogs Wan!,2021,12,12,tv short,finished
297,Kino no Tabi: The Beautiful World,2003,13,25,tv,finished
6597,Yoru wa Mijikashi Arukeyo Otome,2017,1,93,movie,finished
6513,Kuroshitsuji: Book of the Atlantic,2017,1,101,movie,finished
2533,Space☆Dandy 2,2014,13,23,tv,finished
4940,Majo no Takkyuubin,1989,1,105,movie,finished
3456,5-Toubun no Hanayome ∬,2021,12,24,tv,finished
156,Meitantei Conan,1996,1031,25,tv,releasing
2996,Tsuki ga Kirei,2017,12,25,tv,finished
2270,Kuroko no Basket 2nd Season,2013,25,24,tv,finished
12062,Natsume Yuujinchou: Itsuka Yuki no Hi ni,2014,1,23,ova,finished
11922,Hidamari Sketch: Sae Hiro Sotsugyou-hen,2013,2,23,ova,finished
3359,Dorohedoro,2020,12,24,tv,finished
1534,Kemono no Souja Erin,2009,50,25,tv,finished
12324,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,2015,1,24,ova,finished
11652,Major: World Series,2012,2,28,ova,finished
11592,Steins;Gate: Oukoubakko no Poriomania,2012,1,25,ova,finished
6459,Bakemono no Ko,2015,1,118,movie,finished
2693,Noragami Aragoto,2015,13,24,tv,finished
9527,Hajime no Ippo: Mashiba vs. Kimura,2003,1,61,ova,finished
12413,Kamisama Hajimemashita: Kamisama, Shiawase ni Naru,2016,1,12,ova,finished
9649,Hellsing Ultimate,2006,10,50,ova,finished
6222,Kaguya-hime no Monogatari,2013,1,137,movie,finished
3690,Uma Musume: Pretty Derby Season 2,2021,13,24,tv,finished
3276,IDOLiSH7: Second BEAT!,2020,15,24,tv,finished
9130,Natsume Yuujinchou Go Specials,2017,2,24,special,finished
9406,Shingeki no Kyojin Season 3 Part 2 Specials,2019,3,2,special,finished
9139,Natsume Yuujinchou Roku Specials,2017,2,24,special,finished
9110,Meitantei Conan Episode "One" Chiisakunatta Meitantei,2016,1,95,special,finished
